,opendate,trade,changeratio,turnover,netamount,ratioamount,r0_net,r0_ratio,r0x_ratio,cnt_r0x_ratio,cate_ra,cate_na,close,high,low,open,yest,volumn,amount,total,circul
0,2019-12-06,22.38,0.00358744,107.906,45853123.56,0.0194056,60751078.94,0.02571056,82.0567,4,0.0165853,204702915.65,22.38,22.46,22.17,22.31,22.3,105905900,2362884439.0,271176409992.0,219652128846.0
1,2019-12-05,22.3,0.0243454,131.121,381569959.49,0.134048,420263465.1,0.14764163,80.6364,3,0.0920936,1454344192.31,22.3,22.33,21.84,21.85,21.77,130152044,2879095376.0,270207057320.0,218866955910.0
2,2019-12-04,21.77,-0.00366133,45.3683,-14413455.12,-0.014906,4362651.38,0.00451173,129.06,2,-0.0278343,-204857592.06,21.77,21.82,21.63,21.66,21.85,44527415,966956674.0,263785095868.0,213665185209.0
3,2019-12-03,21.85,0.00784133,63.2369,102578239.02,0.0760974,34417987.35,0.02553289,72.9279,1,0.0796086,749930432.91,21.85,21.89,21.48,21.51,21.68,62064835,1347986105.0,264754448540.0,214450358145.0
4,2019-12-02,21.68,0.0126109,88.1893,-175931564.98,-0.0932178,-102999888.52,-0.05457475,-76.9887,-2,-0.0196983,-237319316.98,21.68,21.98,21.65,21.9,21.41,86554840,1887317644.0,262694574112.0,212781865656.0
5,2019-11-29,21.41,-0.004649,50.2626,24137927.53,0.0227803,-19673694.62,-0.01856713,-104.057,-1,0.0751291,568997848.01,21.41,21.65,21.37,21.47,21.51,49331027,1059598215.0,259423008844.0,210131906997.0
6,2019-11-28,21.48,0.00233318,31.3875,107657798.15,0.162878,24870436.4,0.03762717,86.4518,1,-0.0210618,-109690988.13,21.51,21.56,21.4,21.4,21.43,32064563,688046935.0,260634699684.0,211113373167.0
7,2019-11-27,21.43,-0.00418216,48.4654,25493932.58,0.0250523,-24051679.46,-0.023635,-100.034,-6,-0.0661307,-359528767.87,21.43,21.52,21.23,21.48,21.52,47567156,1017629962.0,259665347012.0,210328200231.0
8,2019-11-26,21.52,-0.00462535,38.293,-85195190.68,-0.105064,-42767296.89,-0.0527413,-95.0119,-5,-0.158632,-739303564.39,21.52,21.72,21.5,21.67,21.62,44990505,970291162.0,260755868768.0,211211519784.0
9,2019-11-25,21.61,0.00558399,47.0151,45443071.54,0.0456991,-15887536.93,-0.01597704,-70.7354,-4,0.0134376,54643308.83,21.62,21.66,21.41,21.58,21.49,46912447,1011017092.0,261967559608.0,212192985954.0
10,2019-11-22,21.49,-0.00693161,66.3396,-191370106.26,-0.136124,-146330180.91,-0.10408647,-93.81,-3,-0.0430923,-450480043.42,21.49,21.81,21.42,21.68,21.64,65110057,1405852101.0,260392361516.0,210917079933.0
