,opendate,trade,changeratio,turnover,netamount,ratioamount,r0_net,r0_ratio,r0x_ratio,cnt_r0x_ratio,cate_ra,cate_na,close,high,low,open,yest,volumn,amount,total,circul
0,2019-12-11,10.64,0.0142993,345.81,43995044.03,0.150943,26935595.7,0.09241332,81.2042,1,-0.000207988,-5109692.915,10.64,10.65,10.45,10.52,10.49,28645452,302875913.47,8484055933.92,8484055933.92
1,2019-12-10,10.49,0.000954198,249.377,-24525309.76,-0.118481,-699589.3,-0.00337969,-74.2339,-1,0.0160438,387339608.773,10.49,10.5,10.35,10.41,10.48,20195477,210263724.87,8364449882.22,8364449882.22
2,2019-12-09,10.48,0.022439,403.416,31444078.94,0.0932966,18521164.65,0.05495351,67.7885,1,0.0668242,1758245286.022,10.48,10.63,10.27,10.28,10.25,32529127,340832966.89,8356476145.44,8356476145.44
3,2019-12-06,10.24,-0.00292113,167.448,-32897883.66,-0.241143,-3244798.0,-0.02378448,-97.0018,-3,-0.0229356,-442774870.214,10.25,10.32,10.15,10.3,10.27,13601580,138987490.05,8173080199.5,8173080199.5
4,2019-12-05,10.27,0.00686275,206.978,-3808913.69,-0.0225471,-4511873.05,-0.02670826,-75.5895,-2,0.0432734,886787979.469,10.27,10.33,10.14,10.26,10.2,16915492,173162991.25,8189027673.06,8189027673.06
5,2019-12-04,10.19,-0.0106796,166.922,-39736133.2,-0.292961,-7691629.0,-0.05670778,-100.665,-1,0.0243804,511634731.296,10.2,10.33,10.1,10.23,10.3,13600972,138608489.67,8133211515.6,8133211515.6
6,2019-12-03,10.3,0.00980392,159.378,13366490.25,0.103112,2095806.0,0.01616752,58.7675,1,0.0247891,428310572.708,10.3,10.31,10.06,10.13,10.2,12984166,132474188.88,8212948883.4,8212948883.4
7,2019-12-02,10.21,0.0098912,216.365,-18724956.59,-0.105938,-5263948.9,-0.02978115,-71.6272,-5,-0.0142118,-260708392.681,10.2,10.37,10.14,10.26,10.11,17352174,177776447.97,8133211515.6,8133211515.6
8,2019-11-29,10.11,-0.00394089,177.396,-20096205.08,-0.140643,-2616830.4,-0.01831388,-102.144,-4,-0.0470228,-810812824.244,10.11,10.2,10.03,10.17,10.15,14331171,144772316.46,8061447884.58,8061447884.58
9,2019-11-28,10.15,-0.0097561,253.456,-41218478.58,-0.199607,-17582734.8,-0.08514701,-96.5364,-3,-0.100522,-1953138902.349,10.15,10.4,10.07,10.3,10.25,20481037,209255296.0,8093342831.7,8093342831.7
10,2019-11-27,10.24,-0.00678952,296.171,-34694433.83,-0.142769,-12604397.28,-0.05186775,-97.4577,-2,0.0235187,485066968.105,10.25,10.43,10.22,10.34,10.31,23943389,246372602.46,8173080199.5,8173080199.5
11,2019-11-26,10.31,-0.0346442,493.393,-57883616.51,-0.14161,-12048464.75,-0.02947605,-139.608,-1,-0.107203,-2069675602.018,10.31,10.56,10.3,10.52,10.68,40245597,418081829.52,8220922620.18,8220922620.18
12,2019-11-25,10.68,0.0470588,858.943,123074859.99,0.170535,32181789.11,0.04459166,43.458,1,0.156036,3211686244.32,10.68,10.69,10.32,10.33,10.2,69597437,733546013.88,8515950881.04,8515950881.04
13,2019-11-22,10.2,0.00591716,401.746,568916.51,0.00174382,-2710448.99,-0.00830797,-54.5405,-3,0.000475556,12683611.65,10.2,10.33,10.05,10.17,10.14,32033394,326246683.93,8133211515.6,8133211515.6
14,2019-11-21,10.14,-0.00490677,285.621,-23044153.09,-0.100075,-5149573.0,-0.02236324,-102.375,-2,-0.00267352,-53193447.86,10.14,10.23,9.97,10.16,10.19,22774107,230269589.93,8085369094.92,8085369094.92
15,2019-11-20,10.19,-0.000980392,327.43,-15343375.67,-0.0576816,-12682934.2,-0.04767998,-91.1779,-1,-0.000830771,-20927217.34,10.19,10.29,10.09,10.25,10.2,26107788,266001273.97,8125237778.82,8125237778.82
16,2019-11-19,10.2,0.0602911,525.014,108395226.62,0.257304,59214274.82,0.14056054,66.7839,1,0.146514,3734051112.23,10.2,10.26,9.64,9.65,9.62,41862274,421272395.29,8133211515.6,8133211515.6
17,2019-11-18,9.64,0.00731452,119.478,6075893.45,0.0665922,-4049511.4,-0.03176604,-128.71,-1,0.0413813,762065392.14,9.62,9.68,9.45,9.57,9.57,9663617,92558134.97,7670734782.36,7670734782.36
18,2019-11-15,9.57,-0.0254582,165.893,-28511469.08,-0.223656,-4049511.4,-0.03176604,-128.71,-1,-0.0434566,-782769484.66,9.57,9.83,9.57,9.8,9.82,13514824,130228178.88,7630866098.46,7630866098.46
19,2019-11-14,9.82,0.0218522,216.074,25865065.23,0.15262,3824336.12,0.02256598,45.9206,1,0.00448703,74766342.98,9.82,9.95,9.68,9.69,9.61,17403714,171191928.01,7830209517.96,7830209517.96
20,2019-11-13,9.6,-0.0113285,101.242,-16549288.33,-0.213012,-3384136.0,-0.04355853,-104.578,-1,-0.0395834,-606836145.96,9.61,9.7,9.54,9.7,9.71,8154692,78480481.27,7662761045.58,7662761045.58
21,2019-11-12,9.71,0.00726141,132.234,2592524.23,0.025448,5561090.0,0.0545871,82.4228,1,-0.0171308,-288827946.85,9.71,9.76,9.59,9.69,9.64,10543715,101875539.16,7742498413.38,7742498413.38
22,2019-11-11,9.64,-0.0292044,187.407,-12812407.2,-0.0880176,-6278375.9,-0.04313068,-124.103,-2,-0.107611,-2233828216.5,9.64,9.9,9.63,9.9,9.93,14942975,145566349.02,7686682255.92,7686682255.92
23,2019-11-08,9.93,-0.0197433,226.308,-37709499.16,-0.208466,-6742166.8,-0.03727218,-117.91,-1,0.00639976,129158912.72,9.93,10.23,9.93,10.2,10.13,18044798,180890071.86,7917920622.54,7917920622.54
24,2019-11-07,10.13,0.00997009,241.844,2631296.61,0.0134388,2620478.27,0.01338352,53.3156,1,-0.0107014,-183282441.06,10.13,10.28,10.03,10.1,10.03,19283564,195798880.29,8077395358.14,8077395358.14
25,2019-11-06,10.03,-0.00693069,213.283,-23359804.21,-0.136793,-4445622.98,-0.02603326,-104.908,-1,-0.0515729,-1033985601.5,10.03,10.16,9.96,10.08,10.1,17006204,170767041.75,7997657990.34,7997657990.34
26,2019-11-05,10.1,0.0253807,358.049,26747206.94,0.0932941,10086463.8,0.03518154,54.1925,3,0.0181567,377361198.03,10.1,10.23,9.81,9.85,9.85,28549235,286697609.49,8053474147.8,8053474147.8
27,2019-11-04,9.85,0.0260417,259.944,26705970.89,0.131687,6245679.23,0.03079751,49.7829,2,-0.00737915,-155338615.08,9.85,9.85,9.61,9.63,9.6,20726799,202798177.19,7854130728.3,7854130728.3
28,2019-11-01,9.6,0.0212766,141.605,19773829.52,0.182903,2959860.04,0.02737794,52.1477,1,0.0624876,1256919749.46,9.6,9.68,9.38,9.45,9.4,11290944,108111111.41,7654787308.8,7654787308.8
29,2019-10-31,9.4,-0.0208333,114.242,-29911474.44,-0.345293,-6387890.0,-0.0737407,-105.776,-1,-0.0905412,-1586962846.77,9.4,9.63,9.37,9.6,9.6,9109155,86626385.05,7495312573.2,7495312573.2
30,2019-10-30,9.6,0.0041841,97.8437,1394953.04,0.0187481,405804.0,0.00545398,52.5059,1,-0.0833447,-1555002056.08,9.6,9.61,9.48,9.58,9.56,7801616,74405066.84,7654787308.8,7654787308.8
31,2019-10-29,9.56,-0.0134159,111.223,-20393674.46,-0.239213,-962176.5,-0.01128611,-139.928,-4,-0.0833447,-1555002056.08,9.56,9.7,9.53,9.6,9.69,8868421,85253176.89,7622892361.68,7622892361.68
32,2019-10-28,9.69,0.009375,161.069,15892209.45,0.129073,-547251.5,-0.00444466,-25.3655,-3,-0.0833447,-1555002056.08,9.69,9.7,9.47,9.55,9.6,12842943,123125641.24,7726550939.82,7726550939.82
33,2019-10-25,9.6,0.0031348,122.086,-12070476.73,-0.129733,-4030927.0,-0.04332425,-85.8615,-2,-0.0833447,-1555002056.08,9.6,9.62,9.46,9.55,9.57,9734547,93040889.16,7654787308.8,7654787308.8
34,2019-10-24,9.57,-0.0477612,338.585,-51725498.09,-0.198454,-14700563.4,-0.05640118,-130.258,-1,-0.0833447,-1555002056.08,9.57,9.86,9.54,9.8,10.05,26997232,260642851.8,7630866098.46,7630866098.46
35,2019-10-23,10.05,0.00903614,208.455,11237802.13,0.0676779,2670043.2,0.01607992,60.6661,1,-0.0833447,-1555002056.08,10.05,10.11,9.84,9.95,9.96,16621279,166048291.38,8013605463.9,8013605463.9
36,2019-10-22,9.96,0.00100503,120.882,-9999825.96,-0.104786,-3294059.5,-0.03451765,-88.3322,-4,-0.0833447,-1555002056.08,9.96,9.99,9.82,9.94,9.95,9638608,95431161.48,7941841832.88,7941841832.88
37,2019-10-21,9.95,0.0020141,123.798,-10324613.16,-0.106134,-4174826.0,-0.042916,-87.313,-3,-0.0833447,-1555002056.08,9.95,9.96,9.72,9.91,9.93,9871069,97278999.26,7933868096.1,7933868096.1
38,2019-10-18,9.93,-0.014881,187.519,-28291544.77,-0.190193,-3801234.5,-0.0255542,-120.213,-2,-0.0833447,-1555002056.08,9.93,10.13,9.83,10.07,10.08,14951950,148751854.32,7917920622.54,7917920622.54
39,2019-10-17,10.05,-0.0147059,156.556,-17511157.39,-0.139517,-5636612.0,-0.04490858,-108.132,-1,-0.0833447,-1555002056.08,10.08,10.19,9.94,10.19,10.2,13248063,133216521.0,8037526674.24,8037526674.24
40,2019-10-16,10.2,0.00196464,162.153,-6242839.25,-0.047189,361558.4,0.00273298,54.2891,1,-0.0833447,-1555002056.08,10.2,10.36,10.14,10.27,10.18,12929370,132294399.1,8133211515.6,8133211515.6
41,2019-10-15,10.18,-0.0249042,288.212,-41132321.18,-0.17552,-12802431.74,-0.05463052,-114.507,-2,-0.0833447,-1555002056.08,10.18,10.38,10.08,10.38,10.44,22980708,234345768.7,8117264042.04,8117264042.04
42,2019-10-14,10.44,0.00675024,391.267,-41325521.28,-0.128038,-17434712.12,-0.05401771,-82.877,-1,-0.0833447,-1555002056.08,10.44,10.45,10.23,10.4,10.37,31197886,322759181.81,8324581198.32,8324581198.32
43,2019-10-11,10.37,0.0411647,591.004,91167707.09,0.187868,53185804.29,0.10959914,69.4142,1,-0.0833447,-1555002056.08,10.37,10.46,9.99,9.99,9.96,47123956,485275745.1,8268765040.86,8268765040.86
44,2019-10-10,9.96,-0.003003,200.903,-20723811.15,-0.130396,-4560980.04,-0.02869818,-95.9737,-2,-0.0833447,-1555002056.08,9.96,10.08,9.82,9.99,9.99,16019117,158929221.57,7941841832.88,7941841832.88
45,2019-10-09,9.89,0.00406091,213.201,21963623.48,0.130817,-80470.3,-0.00047929,-6.73115,-1,-0.0833447,-1555002056.08,9.99,9.99,9.73,9.8,9.85,22193054,219479553.53,7965763043.22,7965763043.22
46,2019-10-08,9.85,0.0625674,297.627,49483500.53,0.214265,13947191.65,0.06039175,43.9863,1,-0.0833447,-1555002056.08,9.85,9.96,9.28,9.28,9.27,23731464,230945312.78,7854130728.3,7854130728.3
47,2019-09-30,9.27,-0.0106724,66.2069,-10619396.1,-0.215007,-3809137.7,-0.05326346,180.0,-1,-0.0833447,-1555002056.08,9.27,9.42,9.26,9.37,9.37,5279040,49390856.4,7391653995.06,7391653995.06
48,2019-09-27,9.37,-0.00951374,95.5535,-11597538.75,-0.162169,-3809137.7,-0.05326346,-100.127,-1,-0.0833447,-1555002056.08,9.37,9.51,9.34,9.48,9.46,7619003,71515026.63,7471391362.86,7471391362.86
49,2019-09-26,9.46,-0.00421053,103.599,-3730742.88,-0.0474091,5300854.8,0.06736153,93.5767,1,-0.0833447,-1555002056.08,9.46,9.62,9.42,9.52,9.5,8260555,78692616.65,7543154993.88,7543154993.88
50,2019-09-25,9.5,-0.0104167,96.5777,-350877.1,-0.00478051,-2392376.0,-0.03259479,-107.723,-3,-0.0833447,-1555002056.08,9.5,9.63,9.47,9.54,9.6,7700669,73397488.73,7575049941.0,7575049941.0
