,current_sh600004,current_sh600009,current_sh600011,current_sh600029,current_sh600030,current_sh600061,current_sh600111,current_sh600177,current_sh600309,current_sh600350,current_sh600535,current_sh600588,current_sh600606,current_sh600845,current_sh600887,current_sh601006,current_sh601857,current_sh601877,current_sz000338,current_sz000789,current_sz002340,current_sz002415,current_sz002475,current_sz002690,prediction_sh600004,prediction_sh600009,prediction_sh600011,prediction_sh600029,prediction_sh600030,prediction_sh600061,prediction_sh600111,prediction_sh600177,prediction_sh600309,prediction_sh600350,prediction_sh600535,prediction_sh600588,prediction_sh600606,prediction_sh600845,prediction_sh600887,prediction_sh601006,prediction_sh601857,prediction_sh601877,prediction_sz000338,prediction_sz000789,prediction_sz002340,prediction_sz002415,prediction_sz002475,prediction_sz002690
2019-12-11,10d 下跌,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,
2019-12-10,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,
2019-12-09,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,
2019-12-06,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,
2019-12-05,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,
2019-12-04,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,
2019-12-03,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,
2019-12-02,10d 涨6-10个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,
2019-11-29,10d 涨6-10个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,
2019-11-28,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,
2019-12-11,,10d 下跌,,,,,,,,,,,,,,,,,,,,,,,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,
2019-12-10,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,
2019-12-09,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,
2019-12-06,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,
2019-12-05,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,
2019-12-04,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,
2019-12-03,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,
2019-12-02,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,
2019-11-29,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,
2019-11-28,,10d 涨3-6个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,
2019-12-11,,,10d 下跌,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,
2019-12-10,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,
2019-12-09,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,
2019-12-06,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,
2019-12-05,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,,,,10d 涨0-3个点,,,,,,,,,,,,,,,,,,,,,
